algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed,0.04601974413844223,0.01623235600465515,10
itemknn,cm100k_observed,0.03896925269566808,0.012650181008296802,10
listrankmf,cm100k_observed,0.03562861426770832,0.013170947208401663,10
randomguess,cm100k_observed,0.004731324477053477,0.0032698496348075572,10
slim,cm100k_observed,0.016707377307066357,0.011510420155139534,10
svdpp,cm100k_observed,0.029301623011875787,0.007382787848639581,10
ranksgd,cm100k_observed,0.027818013510676847,0.01270686162316575,10
userknn,cm100k_observed,0.03295227367527762,0.011976469391948854,10
smootheditemaverage,cm100k_observed,0.0027401954218488874,0.002376663987197446,10
optimalobservedprecision,cm100k_observed,0.044330363222632965,0.01573946438078286,10
optimalobservedantiprecision,cm100k_observed,0.0007302615101078772,0.003412509646879933,10
optimaltrueprecision,cm100k_observed,0.054569082291627304,0.017195245973310354,10
optimaltrueantiprecision,cm100k_observed,0.0033365535179269686,0.0,10
pnmf,cm100k_observed,0.027922670789193263,0.017032707344474863,10
eals,cm100k_observed,0.006249036786340846,0.00429809399462945,10
gbpr,cm100k_observed,0.02745496648615133,0.01643455827577667,10
plsa,cm100k_observed,0.03118322823446576,0.014360292183672994,10
bpoissmf,cm100k_observed,0.0015435947857268609,0.0005163377522186431,10
wrmf,cm100k_observed,0.030236118513171286,0.014276357417429079,10
wbpr,cm100k_observed,0.020926219745113554,0.013302246061489777,10
