algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_observed,0.044569400004182615,0.013977769412552021,10
itemknn,cm100k_observed,0.03947184055879708,0.011013865361691449,10
listrankmf,cm100k_observed,0.03224062571888659,0.012722985549072505,10
randomguess,cm100k_observed,0.0054488989271597975,0.002076667294058598,10
slim,cm100k_observed,0.019327854110462804,0.011787125917560702,10
svdpp,cm100k_observed,0.0320696614174875,0.00637116506681724,10
ranksgd,cm100k_observed,0.026098981533764148,0.00993213710605015,10
userknn,cm100k_observed,0.03366480540393584,0.010234330886504798,10
smootheditemaverage,cm100k_observed,0.00404040404040404,0.0027887571365832237,10
optimalobservedprecision,cm100k_observed,0.045592571679528196,0.014940816027772549,10
optimalobservedantiprecision,cm100k_observed,0.0005395570612961917,0.002913189869711609,10
optimaltrueprecision,cm100k_observed,0.058680490202229325,0.013466967814793902,10
optimaltrueantiprecision,cm100k_observed,0.0038866930171278,0.0,10
optimaltrueprecisionrestricted,cm100k_observed,0.010009515444298053,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed,0.0038866930171278,0.0,10
pnmf,cm100k_observed,0.03087291130769392,0.014795993056862623,10
eals,cm100k_observed,0.009388397431875693,0.0037183428487776314,10
gbpr,cm100k_observed,0.026183679444549014,0.013597674467239683,10
plsa,cm100k_observed,0.03553443336052032,0.015394106698454525,10
bpoissmf,cm100k_observed,0.00200347156868896,0.0003952569169960475,10
wrmf,cm100k_observed,0.030752661187443797,0.011341677646025474,10
wbpr,cm100k_observed,0.021072003680699333,0.011692494301189951,10
