algorithm,dataset,mrr,antimrr,cutoff
mostpopular,yahoo_true,0.020988462669018226,0.018126175778953556,10
itemknn,yahoo_true,0.026907774838330397,0.013956937095825983,10
listrankmf,yahoo_true,0.020923059964726633,0.018221928277483833,10
randomguess,yahoo_true,0.006463844797178129,0.023113536155202823,10
slim,yahoo_true,0.019393665490887713,0.015267342739564961,10
svdpp,yahoo_true,0.011944370958259848,0.021540711346266905,10
ranksgd,yahoo_true,0.022133818342151678,0.015155202821869489,10
userknn,yahoo_true,0.027952895355673132,0.012673647854203409,10
smootheditemaverage,yahoo_true,0.007471781305114639,0.02356577013521458,10
optimalobservedprecision,yahoo_true,0.022676807760141093,0.018051660787771897,10
optimalobservedantiprecision,yahoo_true,0.004720238095238095,0.02525845091122869,10
optimaltrueprecision,yahoo_true,0.02363668430335097,0.017680188124632568,10
optimaltrueantiprecision,yahoo_true,0.01310236625514403,0.010046810699588477,10
optimaltrueprecisionrestricted,yahoo_true,0.021041740152851263,0.011958700764256317,10
optimaltrueantiprecisionrestricted,yahoo_true,0.021041740152851263,0.011958700764256317,10
pnmf,yahoo_true,0.022473985890652557,0.0179647266313933,10
eals,yahoo_true,0.02239101998824221,0.011917254556143444,10
gbpr,yahoo_true,0.02836581422692534,0.01521244855967078,10
plsa,yahoo_true,0.025413506760728986,0.014211860670194004,10
bpoissmf,yahoo_true,0.005172031158142269,0.024551219870664318,10
wrmf,yahoo_true,0.033936581422692534,0.013036816578483247,10
wbpr,yahoo_true,0.01273750734861846,0.02118393592004703,10
