algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_true,0.022214235102056203,0.004438952610496565,10
itemknn,cm100k_true,0.018189863059577895,0.0045583567129315284,10
listrankmf,cm100k_true,0.0191871534196334,0.004961171278884657,10
randomguess,cm100k_true,0.009257224879777782,0.01277797325654932,10
slim,cm100k_true,0.011220700275692582,0.008657791800691332,10
svdpp,cm100k_true,0.01720249136122647,0.007458544114902408,10
ranksgd,cm100k_true,0.01702868401701162,0.006420574363733022,10
userknn,cm100k_true,0.01738152496096607,0.0057186733055898204,10
smootheditemaverage,cm100k_true,0.007321461640739518,0.009389936507727629,10
optimalobservedprecision,cm100k_true,0.022464038087529073,0.00410051799114592,10
optimalobservedantiprecision,cm100k_true,0.00495635792340503,0.010040672655143513,10
optimaltrueprecision,cm100k_true,0.028083699696856538,0.005142847096905974,10
optimaltrueantiprecision,cm100k_true,0.015912677253149352,0.001997701200791199,10
pnmf,cm100k_true,0.018420604474059642,0.008473783457132938,10
eals,cm100k_true,0.0107133120839026,0.00882730296303981,10
gbpr,cm100k_true,0.015061986276003685,0.00829226972965104,10
plsa,cm100k_true,0.014771922742100707,0.008303670964913861,10
bpoissmf,cm100k_true,0.009006325372936896,0.011077941700451883,10
wrmf,cm100k_true,0.01392157880925364,0.004940368354187343,10
wbpr,cm100k_true,0.012469004144874665,0.007384934104912887,10
