algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_true,0.040029322073657045,0.014740010946907498,10
itemknn,cm100k_true,0.031808976464148875,0.01749354914379545,10
listrankmf,cm100k_true,0.03153530377668309,0.015668543279380717,10
randomguess,cm100k_true,0.019069512862616312,0.04327234342012667,10
slim,cm100k_true,0.020308468214872154,0.029471420752208932,10
svdpp,cm100k_true,0.031199859254046447,0.024721635780749082,10
ranksgd,cm100k_true,0.035787004456955186,0.021019235280319022,10
userknn,cm100k_true,0.03392485729924154,0.02131597466572836,10
smootheditemaverage,cm100k_true,0.012932598326686997,0.03175150519978106,10
optimalobservedprecision,cm100k_true,0.0406052076002815,0.014061693642974432,10
optimalobservedantiprecision,cm100k_true,0.013244976151380091,0.036571663148017824,10
optimaltrueprecision,cm100k_true,0.05145476581437172,0.018885761201032136,10
optimaltrueantiprecision,cm100k_true,0.02799280631792947,0.007921651419188365,10
optimaltrueprecisionrestricted,cm100k_true,0.04805457815310032,0.009191492689029634,10
optimaltrueantiprecisionrestricted,cm100k_true,0.04805457815310032,0.009191492689029634,10
pnmf,cm100k_true,0.030220111032918922,0.030759246227226523,10
eals,cm100k_true,0.021054030807725388,0.0275424192665572,10
gbpr,cm100k_true,0.02587457971694425,0.02671827351630307,10
plsa,cm100k_true,0.029298615998123386,0.029793181640472285,10
bpoissmf,cm100k_true,0.02025021502854015,0.037532254281022755,10
wrmf,cm100k_true,0.02588200797560403,0.01632418484635233,10
wbpr,cm100k_true,0.01946751114238799,0.025331143951833605,10
