algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_true,0.04465282664790053,0.01557744937055282,10
itemknn,cm100k_true,0.032310579404175456,0.02022675736961451,10
listrankmf,cm100k_true,0.0394014387364141,0.01805653295801079,10
randomguess,cm100k_true,0.015439440143873641,0.030677144420986787,10
slim,cm100k_true,0.026062631949331456,0.028044022206583783,10
svdpp,cm100k_true,0.027346547814528107,0.025885917585424974,10
ranksgd,cm100k_true,0.03293494409257956,0.019077723043240284,10
userknn,cm100k_true,0.03383376339041363,0.022679255610290095,10
smootheditemaverage,cm100k_true,0.015,0.02874071467667527,10
optimalobservedprecision,cm100k_true,0.04450191570881226,0.015584877629212606,10
optimalobservedantiprecision,cm100k_true,0.020696692470091482,0.03440964891703808,10
optimaltrueprecision,cm100k_true,0.05255062944718117,0.02038548752834467,10
optimaltrueantiprecision,cm100k_true,0.028619125811244036,0.007138165611072015,10
optimaltrueprecisionrestricted,cm100k_true,0.039150832746891864,0.008433810305731487,10
optimaltrueantiprecisionrestricted,cm100k_true,0.039150832746891864,0.008433810305731487,10
pnmf,cm100k_true,0.030082101806239735,0.02426264758777074,10
eals,cm100k_true,0.01975095785440613,0.03332668699663773,10
gbpr,cm100k_true,0.030809289232934554,0.032527953710219715,10
plsa,cm100k_true,0.02868910782703886,0.019788490108687155,10
bpoissmf,cm100k_true,0.014906951286261632,0.03685159121119712,10
wrmf,cm100k_true,0.0323215263116741,0.020089530064899525,10
wbpr,cm100k_true,0.031632653061224494,0.02848189850652905,10
