algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_true_synthetic,0.0007076418572069564,0.019875325936962427,10
itemknn,cm100k_true_synthetic,0.003224012803436689,0.014873363967460735,10
listrankmf,cm100k_true_synthetic,0.0036169836853334214,0.01270480347115284,10
randomguess,cm100k_true_synthetic,0.0065282710822208816,0.012030093201697305,10
slim,cm100k_true_synthetic,0.0007485080648817763,0.02002015111590172,10
svdpp,cm100k_true_synthetic,0.00786869930453719,0.011305263743725018,10
ranksgd,cm100k_true_synthetic,0.00437306783959778,0.01066196486003112,10
userknn,cm100k_true_synthetic,0.004186092085803633,0.018391730776650378,10
smootheditemaverage,cm100k_true_synthetic,0.008782384613305574,0.007628622684355644,10
optimalobservedprecision,cm100k_true_synthetic,0.0012246572627025367,0.01563873922736238,10
optimalobservedantiprecision,cm100k_true_synthetic,0.006088460546590957,0.007959835164314104,10
optimaltrueprecision,cm100k_true_synthetic,0.0175657007617256,0.009979918603400077,10
optimaltrueantiprecision,cm100k_true_synthetic,0.00939854605226418,0.0032843527244687926,10
pnmf,cm100k_true_synthetic,0.001951795707948769,0.0164271824593233,10
eals,cm100k_true_synthetic,0.004954729842440857,0.013752680482816578,10
gbpr,cm100k_true_synthetic,0.0016435927756487925,0.015951683339283186,10
plsa,cm100k_true_synthetic,0.0027085440088958712,0.016382115791479603,10
bpoissmf,cm100k_true_synthetic,0.005976684048013885,0.012095480854281205,10
wrmf,cm100k_true_synthetic,0.0024903995576726623,0.015022913705367194,10
wbpr,cm100k_true_synthetic,0.002267604891658722,0.01780785435903029,10
