algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_observed_synthetic,0.0009824937477670597,0.05466323006515933,10
itemknn,cm100k_observed_synthetic,0.00038704299154459923,0.012575494649449633,10
listrankmf,cm100k_observed_synthetic,0.0008217220435869953,0.006437673318702258,10
randomguess,cm100k_observed_synthetic,0.0004912468738835299,0.005455604892903928,10
slim,cm100k_observed_synthetic,0.0017268071930451351,0.059483403936780144,10
svdpp,cm100k_observed_synthetic,0.0031439799928545914,0.0011551744670715732,10
ranksgd,cm100k_observed_synthetic,0.0011789924973204717,0.005644447847020195,10
userknn,cm100k_observed_synthetic,0.0019454226849725243,0.03707829326800388,10
smootheditemaverage,cm100k_observed_synthetic,0.0,0.0012980826485649638,10
optimalobservedprecision,cm100k_observed_synthetic,0.0002679528403001072,0.029806563568621443,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.0011802684632266627,0.0018220793140407289,10
optimaltrueprecision,cm100k_observed_synthetic,0.010415284370268292,0.012022150768131476,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0009884482553292843,0.0,10
optimaltrueprecisionrestricted,cm100k_observed_synthetic,0.0034485105224655063,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed_synthetic,0.0009884482553292843,0.0,10
pnmf,cm100k_observed_synthetic,0.0012444920805049424,0.029667483284846623,10
eals,cm100k_observed_synthetic,0.0,0.0054436958777794794,10
gbpr,cm100k_observed_synthetic,0.0007145409074669525,0.02065916398713826,10
plsa,cm100k_observed_synthetic,0.0009152928767076677,0.030501964987495533,10
bpoissmf,cm100k_observed_synthetic,0.0005014546011330577,0.005605318225897004,10
wrmf,cm100k_observed_synthetic,0.0006549958318447065,0.0235232821245683,10
wbpr,cm100k_observed_synthetic,0.0012606543153166946,0.03967360792119635,10
