algorithm,dataset,mrr,antimrr,cutoff
mostpopular,cm100k_observed_synthetic,0.0013781754602488943,0.05490675031711748,10
itemknn,cm100k_observed_synthetic,0.0008399328053755699,0.016136994754705338,10
listrankmf,cm100k_observed_synthetic,0.0008412184168123691,0.00474433473893517,10
randomguess,cm100k_observed_synthetic,0.0014621687407864515,0.007212708697589907,10
slim,cm100k_observed_synthetic,0.001868850491960643,0.054971459426103056,10
svdpp,cm100k_observed_synthetic,0.0014758819294456444,0.006837310158044499,10
ranksgd,cm100k_observed_synthetic,0.0005159587233021358,0.004838184373821523,10
userknn,cm100k_observed_synthetic,0.002915766738660907,0.03978453152319244,10
smootheditemaverage,cm100k_observed_synthetic,0.0010799136069114472,0.002294816414686825,10
optimalobservedprecision,cm100k_observed_synthetic,0.0007302272961020262,0.020546641982927077,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.00046796256299496043,0.001919846412287017,10
optimaltrueprecision,cm100k_observed_synthetic,0.009688367787719839,0.025978778840549895,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.000503959683225342,0.0,10
optimaltrueprecisionrestricted,cm100k_observed_synthetic,0.003504576776715006,0.0,10
optimaltrueantiprecisionrestricted,cm100k_observed_synthetic,0.000503959683225342,0.0,10
pnmf,cm100k_observed_synthetic,0.0026547876169906405,0.028619853268881345,10
eals,cm100k_observed_synthetic,0.0006865165072508485,0.006148650965065652,10
gbpr,cm100k_observed_synthetic,0.0011634783503034042,0.020831190647605333,10
plsa,cm100k_observed_synthetic,0.0007349412047036238,0.029412646988240945,10
bpoissmf,cm100k_observed_synthetic,0.0010542013781754602,0.0036142822859885496,10
wrmf,cm100k_observed_synthetic,0.00021598272138228944,0.020449364050875933,10
wbpr,cm100k_observed_synthetic,0.004404933319620145,0.034657084576091055,10
