algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed_synthetic,0.0012163616904020515,0.050448555417136956,10
itemknn,cm100k_observed_synthetic,0.0006056785833189411,0.009719472142201495,10
listrankmf,cm100k_observed_synthetic,0.001367847553051841,0.007476958930103698,10
randomguess,cm100k_observed_synthetic,0.0008740245195988518,0.004679142421188992,10
slim,cm100k_observed_synthetic,0.0018194591049891624,0.05512836524815154,10
svdpp,cm100k_observed_synthetic,0.0027164666944120277,0.0018827748182778025,10
ranksgd,cm100k_observed_synthetic,0.0018207646882965787,0.005629619308412736,10
userknn,cm100k_observed_synthetic,0.002398049104872113,0.03360461334364207,10
smootheditemaverage,cm100k_observed_synthetic,0.0,0.0009631385702370366,10
optimalobservedprecision,cm100k_observed_synthetic,0.0004616040279457589,0.027824939674164523,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.0015197715828625686,0.0013322447379333759,10
optimaltrueprecision,cm100k_observed_synthetic,0.012172344764217403,0.015019764518819654,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0015545877695689457,0.0,10
pnmf,cm100k_observed_synthetic,0.0018196592832451393,0.029645162194228327,10
eals,cm100k_observed_synthetic,0.0,0.004342836982861463,10
gbpr,cm100k_observed_synthetic,0.0011717141312864521,0.01783050450111921,10
plsa,cm100k_observed_synthetic,0.001404374022025449,0.027347349255579488,10
bpoissmf,cm100k_observed_synthetic,0.0009496204961290014,0.006389904834609447,10
wrmf,cm100k_observed_synthetic,0.000737280603321032,0.018743299202782764,10
wbpr,cm100k_observed_synthetic,0.0016101000758794862,0.03426847403441592,10
