algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed_synthetic,0.002496358486544186,0.047923212139214806,10
itemknn,cm100k_observed_synthetic,0.0025392280444195047,0.014174863367889909,10
listrankmf,cm100k_observed_synthetic,0.0009598848009649486,0.005233770089522771,10
randomguess,cm100k_observed_synthetic,0.0011834919826974634,0.0028301506909559097,10
slim,cm100k_observed_synthetic,0.002229034459176747,0.048418356913258014,10
svdpp,cm100k_observed_synthetic,0.0012961291595900816,0.002768384408807088,10
ranksgd,cm100k_observed_synthetic,0.0022433150776256057,0.007334614107360528,10
userknn,cm100k_observed_synthetic,0.0008201116953379036,0.03262509747315816,10
smootheditemaverage,cm100k_observed_synthetic,0.001702359035643436,0.0013896019314684415,10
optimalobservedprecision,cm100k_observed_synthetic,0.0012431514678857406,0.01838678648490133,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.0010160947378128728,0.0014329483900246726,10
optimaltrueprecision,cm100k_observed_synthetic,0.010724824853345069,0.012357958844124921,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0017077684968769128,0.0,10
pnmf,cm100k_observed_synthetic,0.0006754762211995364,0.028045600154024884,10
eals,cm100k_observed_synthetic,0.002785783092445381,0.007173365305372699,10
gbpr,cm100k_observed_synthetic,0.004729267944169648,0.01693214911225298,10
plsa,cm100k_observed_synthetic,0.00277281536457025,0.022130946337509356,10
bpoissmf,cm100k_observed_synthetic,0.0021706308458942533,0.0019253860337841869,10
wrmf,cm100k_observed_synthetic,0.0005147556383877865,0.015885407585442615,10
wbpr,cm100k_observed_synthetic,0.00303352298128899,0.03777913832127206,10
