algorithm,dataset,ndcg,ndcl,cutoff
mostpopular,cm100k_observed_synthetic,0.0020078463884966305,0.047571971477863316,10
itemknn,cm100k_observed_synthetic,0.001213188608904041,0.013730061473011524,10
listrankmf,cm100k_observed_synthetic,0.0011911004461786444,0.005443988024033757,10
randomguess,cm100k_observed_synthetic,0.0017127875266385248,0.00597512571174929,10
slim,cm100k_observed_synthetic,0.0029594746438950837,0.04803581411691747,10
svdpp,cm100k_observed_synthetic,0.0018823542055535247,0.004976980943875196,10
ranksgd,cm100k_observed_synthetic,0.0007933821519839605,0.004893352188346914,10
userknn,cm100k_observed_synthetic,0.002673183068365257,0.03274652738570676,10
smootheditemaverage,cm100k_observed_synthetic,0.0010799136069114472,0.001097624078684541,10
optimalobservedprecision,cm100k_observed_synthetic,0.001398272963816481,0.017556645075699828,10
optimalobservedantiprecision,cm100k_observed_synthetic,0.0008521218426759048,0.0010021554523204233,10
optimaltrueprecision,cm100k_observed_synthetic,0.012795145262930714,0.016509770123455662,10
optimaltrueantiprecision,cm100k_observed_synthetic,0.0008209067031329328,0.0,10
pnmf,cm100k_observed_synthetic,0.0027189876466587465,0.023509969953492218,10
eals,cm100k_observed_synthetic,0.0012088865747072615,0.005123045427340667,10
gbpr,cm100k_observed_synthetic,0.0018385721361740496,0.02135432851858092,10
plsa,cm100k_observed_synthetic,0.0014050438112627195,0.023726044514507577,10
bpoissmf,cm100k_observed_synthetic,0.0013362790510994139,0.0040174353748183575,10
wrmf,cm100k_observed_synthetic,0.0004177676104044726,0.017675787766639715,10
wbpr,cm100k_observed_synthetic,0.005684152670069021,0.02949182435300541,10
